Name,Desc,Runs_Scored,Balls_Faced,4s_hit,6s_hit,SR,Team,Overs_Bowled,Maidens,Runs_Given,Wickets,Econ,Dots,4s_Given,6s_Given,Wd,Nb,50,100,0,4_haul,5_haul,BSR,BWA,hard_hit,bat_consistency,pca_bat,Bowl_index,bowl_consistency,bowl_pca
KW Richardson,0,1.0,1.0,0.0,0.0,50.0,5.0,14.0,0.0,136.0,7.0,9.066666666666666,35.0,10.0,9.0,2.0,0.0,0.0,0.0,3.0,0.0,0.0,10.5,17.0,-1.233506321295029,-0.7851985177696233,-0.746525157273302,-0.11425685531488104,-1.1302281360884587,-0.2592749274819364
Ankit Sharma,0,3.0,3.0,0.0,0.0,75.0,4.0,11.0,0.0,84.0,1.0,7.0,17.0,3.0,3.0,4.0,0.0,0.0,0.0,2.0,0.0,0.0,33.0,42.0,-1.233506321295029,-0.3749796280018772,-0.6516781410547199,1.0031432006889676,-1.323220856992853,1.2193591092982383
KJ Abbott,0,13.0,8.0,0.0,1.0,144.44444444444443,7.0,16.0,0.0,177.0,2.0,10.411764705882353,30.0,24.0,4.0,5.0,1.0,0.0,0.0,3.0,0.0,0.0,32.0,59.0,0.05664324944934529,0.8288237806447292,-0.3625060019906308,1.4805615492469968,-1.1837314942061568,1.5682492880257715
Mandeep Singh,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-1.233506321295029,-1.580196366156728,-0.9218048771029748,-1.0135876414016174,2.5141828259273606,-0.6849071043545125
T Shamsi,0,0.0,0.0,0.0,0.0,0.0,5.0,16.0,0.0,147.0,3.0,8.647058823529411,30.0,13.0,7.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,24.0,36.75,-1.233506321295029,-1.5992763145180182,-0.9218048771029748,0.693182954693338,0.388969380878034,0.7237936903832598
D Wiese,0,5.0,4.0,0.0,0.0,100.0,1.0,4.0,0.0,49.0,0.0,9.8,6.0,7.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,24.0,49.0,-1.233506321295029,0.04159924455296545,-0.5568311248361377,1.0228186235386318,-1.5842386649494797,1.3427072530078918
JA Morkel,0,16.0,9.0,0.0,2.0,160.0,2.0,5.0,0.0,66.0,2.0,11.0,9.0,9.0,2.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,10.0,22.0,1.088762906044845,1.1635002081968475,-0.2907013706681262,0.04396633676783568,-1.4961635647644145,0.2241750993582106
R Sathish,0,24.0,24.0,1.0,1.0,96.0,7.0,6.0,0.0,59.0,1.0,8.428571428571429,8.0,2.0,4.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,18.0,29.5,-0.3045986303590794,0.034221664519933144,-0.4705655552790753,0.36193522389187394,-1.4790153957486263,0.611010185590401
DW Steyn,0,1.0,2.0,0.0,0.0,33.33333333333333,1.0,2.0,0.0,17.0,0.0,5.666666666666667,5.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,17.0,-1.233506321295029,-1.0353578407287656,-0.8033501402601384,-0.16098598458283342,-1.52138113857842,0.12482455567138726
AP Tare,0,8.0,15.0,1.0,0.0,50.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,-0.5077971877513184,-0.7291511694583324,-0.7086325101566647,-1.0135876414016174,0.9895143269677149,-0.6849071043545125
JO Holder,0,22.0,19.0,2.0,1.0,110.00000000000001,6.0,13.0,0.0,103.0,2.0,7.357142857142857,29.0,10.0,3.0,4.0,1.0,0.0,0.0,1.0,0.0,0.0,26.0,34.333333333333336,0.5081955992098763,0.3160325018161943,-0.4281828602759703,0.6512107860268185,-1.2483986947681311,0.7164969415524316
NS Naik,0,23.0,31.0,1.0,0.0,71.875,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.8706517545231737,-0.3878983430381676,-0.5619781569489839,-1.0135876414016174,0.9803610855502899,-0.6849071043545125
R Dhawan,0,14.0,6.0,0.0,1.0,200.0,2.0,7.0,0.0,56.0,2.0,7.0,12.0,5.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,18.666666666666668,0.4252574125191665,1.7706059936737197,-0.1682846211653459,-0.03801459177243188,-1.4026672131050826,0.14153535009148213
PSP Handscomb,0,6.0,12.0,0.0,0.0,46.15384615384615,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-1.233506321295029,-0.8346106917309141,-0.7356147605398294,-1.0135876414016174,0.9920015512727063,-0.6849071043545125
CA Lynn,0,25.0,22.0,0.0,1.0,108.69565217391303,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.7286651849167955,0.21663703169350013,-0.4267342223150377,-1.0135876414016174,0.9731980172285509,-0.6849071043545125
JD Unadkat,0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,49.0,0.0,12.25,5.0,3.0,5.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,18.0,49.0,-1.233506321295029,-1.580196366156728,-0.9218048771029748,0.9355089346432467,-0.0819920089489435,1.2411992933060259
ER Dwivedi,0,24.0,14.0,2.0,2.0,160.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.8628526484914694,1.210140081968891,-0.24374470164983464,-1.0135876414016174,0.9686803474788256,-0.6849071043545125
DL Chahar,0,0.0,0.0,0.0,0.0,0.0,4.0,5.0,0.0,41.0,0.0,6.833333333333333,14.0,5.0,1.0,3.0,0.0,0.0,0.0,2.0,0.0,0.0,30.0,41.0,-1.233506321295029,-1.5865563489438246,-0.9218048771029748,0.9006670400136332,0.0060181838748704355,1.1597922461388959
TA Boult,0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,0.0,39.0,1.0,7.8,11.0,8.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,12.0,19.5,-1.233506321295029,-1.580196366156728,-0.9218048771029748,-0.04703249391186151,0.03375903154041936,0.15479457863269996
