,Name,Desc,Runs_Scored,Balls_Faced,4s_hit,6s_hit,SR,Team,Overs_Bowled,Maidens,Runs_Given,Wickets,Econ,Dots,4s_Given,6s_Given,Wd,Nb
18,A Mishra,DNB,0,0,0,0,0,1,4,0,19,3,4.75,13,0,1,0,0
19,S Lamichhane,DNB,0,0,0,0,0,1,4,0,36,3,9,10,3,2,1,0
20,TA Boult,DNB,0,0,0,0,0,1,4,0,33,1,8.25,9,2,1,1,0
21,LE Plunkett,DNB,0,0,0,0,0,1,3,0,27,0,9,5,2,1,2,0
0,SP Narine,st †Klaasen b Gowtham,4,2,1,0,200,1,4,0,39,0,9.75,9,2,3,1,0
1,CA Lynn,c & b Gopal,18,22,2,0,81.81,1,,,,,,,,,,
2,RV Uthappa,c & b Gowtham,3,7,0,0,42.85,1,,,,,,,,,,
3,N Rana,c Unadkat b Archer,3,5,0,0,60,1,,,,,,,,,,
4,KD Karthik,c Rahane b Laughlin,52,38,4,2,136.84,1,,,,,,,,,,
5,Shubman Gill,c †Klaasen b Archer,28,17,3,1,164.7,1,,,,,,,,,,
6,AD Russell,not out,49,25,3,5,196,1,3,0,22,0,7.33,5,0,1,0,0
7,JPR Scantlebury Searles,c Archer b Laughlin,2,5,0,0,40,1,,,,,,,,,,
8,PP Chawla,not out,0,0,0,0,0,1,4,0,24,2,6,7,2,0,0,0
9,AM Rahane,c & b Kuldeep Yadav,46,41,4,1,112.19,2,,,,,,,,,,
10,RA Tripathi,c & b Chawla,20,13,1,2,153.84,2,,,,,,,,,,
11,SV Samson,c Scantlebury0Searles b Chawla,50,38,4,2,131.57,2,,,,,,,,,,
12,H Klaasen,not out,18,18,1,0,100,2,,,,,,,,,,
13,STR Binny,c Lynn b Prasidh Krishna,0,3,0,0,0,2,,,,,,,,,,
14,K Gowtham,not out,9,7,1,0,128.57,2,3,0,15,2,5,10,2,0,0,0
15,Kuldeep Yadav,DNB,0,0,0,0,0,1,4,0,18,1,4.5,13,2,0,0,0
16,M Prasidh Krishna,DNB,0,0,0,0,0,1,4,0,28,1,7,10,4,0,0,0
17,JC Archer,DNB,0,0,0,0,0,2,4,0,33,2,8.25,12,2,2,3,1
18,S Gopal,DNB,0,0,0,0,0,2,4,0,34,1,8.5,8,2,2,0,0
19,IS Sodhi,DNB,0,0,0,0,0,2,4,0,15,0,3.75,11,0,0,0,0
20,JD Unadkat,DNB,0,0,0,0,0,2,2,0,33,0,16.5,1,4,2,0,0
21,B Laughlin,DNB,0,0,0,0,0,2,3,0,35,2,11.66,5,3,2,2,0
22,JPR Scantlebury0Searles,,,,,,,1,1,0,13,0,13,1,1,1,0,0
0,SA Yadav,c Singh b Chawla,36,32,5,1,112.5,1,,,,,,,,,,
1,E Lewis,c Lynn b Chawla,18,13,3,0,138.46,1,,,,,,,,,,
2,RG Sharma,c Uthappa b Prasidh Krishna,36,31,2,1,116.12,1,,,,,,,,,,
3,Ishan Kishan,c Uthappa b Narine,62,21,5,6,295.23,1,,,,,,,,,,
4,HH Pandya,c Singh b Curran,19,13,0,2,146.15,1,3,0,16,2,5.33,11,3,0,0,0
5,BCJ Cutting,c Russell b Chawla,24,9,1,3,266.66,1,2,0,12,1,6,6,2,0,0,0
6,KH Pandya,not out,8,2,0,1,400,1,3.1,0,12,2,3.78,12,0,1,0,0
7,JP Duminy,not out,0,0,0,0,0,1,,,,,,,,,,
8,SP Narine,c KH Pandya b McClenaghan,4,2,1,0,200,2,4,0,27,1,6.75,11,1,2,0,0
9,CA Lynn,run out (Yadav/KH Pandya),21,15,3,1,140,2,,,,,,,,,,
10,RV Uthappa,c Yadav b Markande,14,13,0,2,107.69,2,,,,,,,,,,
11,N Rana,c Cutting b HH Pandya,21,19,2,1,110.52,2,,,,,,,,,,
12,AD Russell,c Markande b HH Pandya,2,4,0,0,50,2,2,0,16,0,8,4,2,0,2,0
13,KD Karthik,run out (Duminy/HH Pandya),5,3,1,0,166.66,2,,,,,,,,,,
14,RK Singh,c †Ishan Kishan b Bumrah,5,3,1,0,166.66,2,,,,,,,,,,
15,TK Curran,c Duminy b KH Pandya,18,17,3,0,105.88,2,3,0,33,1,11,5,2,2,1,1
