team_1,team_2,toss_won_by,decision,venue,time,umpire_1,umpire_2,umpire_3,referee,list_1,list_2,winning_team
CSK,DC,CSK,bat,"MA Chidambaram Stadium, Chennai",8:00 PM,Chettithody Shamshuddin,Rod Tucker,Subrat Das,Andy Pycroft,"['Michael Hussey', 'Murali Vijay', 'Suresh Raina', 'S Badrinath', 'MS Dhoni', 'Ravindra Jadeja', 'Dwayne Bravo', 'Albie Morkel', 'Ravichandran Ashwin', 'Jason Holder', 'Mohit Sharma']","['David Warner', 'Virender Sehwag', 'Unmukt Chand', 'Ben Rohrer', 'Johan Botha', 'Kedar Jadhav', 'Irfan Pathan', 'Roelof van der Merwe', 'Siddarth Kaul', 'Umesh Yadav', 'Ashish Nehra']",CSK
KKR,PWI,KKR,bowl,"JSCA International Stadium Complex, Ranchi",4:00 PM,Nigel Llong,Krishnaraj Srinath,Vineet Kulkarni,Ranjan Madugalle,"['Manvinder Bisla', 'Gautam Gambhir', 'Jacques Kallis', 'Ryan ten Doeschate', 'Yusuf Pathan', 'Manoj Tiwary', 'Debabrata Das', 'Rajat Bhatia', 'Sachithra Senanayake', 'Sunil Narine', 'Lakshmipathy Balaji']","['Robin Uthappa', 'Aaron Finch', 'Manish Pandey', 'Yuvraj Singh', 'Luke Wright', 'Angelo Mathews', 'Raiphi Gomez', 'Bhuvneshwar Kumar', 'Ali Murtaza', 'Wayne Parnell', 'Ishwar Pandey']",PWI
MI,RR,RR,bowl,"Wankhede Stadium, Mumbai",8:00 PM,Asad Rauf,Sudhir Asnani,Anil Chaudhary,Javagal Srinath,"['Dinesh Karthik', 'Aditya Tare', 'Rohit Sharma', 'Glenn Maxwell', 'Kieron Pollard', 'Ambati Rayudu', 'Harbhajan Singh', 'Mitchell Johnson', 'Lasith Malinga', 'Pragyan Ojha', 'Dhawal Kulkarni']","['Ajinkya Rahane', 'Rahul Dravid', 'Shane Watson', 'Sanju Samson', 'Brad Hodge', 'Stuart Binny', 'Dishant Yagnik', 'James Faulkner', 'Kevon Cooper', 'Ankeet Chavan', 'Pravin Tambe']",MI
KXIP,DC,DC,bowl,"Himachal Pradesh Cricket Association Stadium, Dharamsala",8:00 PM,Kumar Dharmasena,Sundaram Ravi,Nandan,Roshan Mahanama,"['Adam Gilchrist', 'Shaun Marsh', 'Mandeep Singh', 'Azhar Mahmood', 'David Miller', 'Manan Vohra', 'Rajagopal Sathish', 'Piyush Chawla', 'Praveen Kumar', 'Parvinder Awana', 'Sandeep Sharma']","['Mahela Jayawardene', 'Virender Sehwag', 'Unmukt Chand', 'David Warner', 'Ben Rohrer', 'CM Gautam', 'Irfan Pathan', 'Morne Morkel', 'Siddarth Kaul', 'Umesh Yadav', 'Ashish Nehra']",KXIP
SRH,RR,SRH,bat,"Rajiv Gandhi International Stadium, Hyderabad",8:00 PM,Asad Rauf,Anil Chaudhary,Sudhir Asnani,Javagal Srinath,"['Parthiv Patel', 'Shikhar Dhawan', 'Hanuma Vihari', 'Cameron White', 'Thisara Perera', 'Daren Sammy', 'Biplab Samantray', 'Karn Sharma', 'Amit Mishra', 'Dale Steyn', 'Ishant Sharma']","['Rahul Dravid', 'Ajinkya Rahane', 'Sanju Samson', 'Shane Watson', 'Stuart Binny', 'Brad Hodge', 'Sachin Baby', 'Kevon Cooper', 'James Faulkner', 'Pravin Tambe', 'Siddharth Trivedi']",SRH
KXIP,MI,MI,bowl,"Himachal Pradesh Cricket Association Stadium, Dharamsala",4:00 PM,Kumar Dharmasena,Nandan,Sundaram Ravi,Roshan Mahanama,"['Adam Gilchrist', 'Shaun Marsh', 'Azhar Mahmood', 'Mandeep Singh', 'David Miller', 'Manan Vohra', 'Gurkeerat Singh Mann', 'Piyush Chawla', 'Praveen Kumar', 'Parvinder Awana', 'Sandeep Sharma']","['Aditya Tare', 'Glenn Maxwell', 'Dinesh Karthik', 'Rohit Sharma', 'Kieron Pollard', 'Ambati Rayudu', 'Harbhajan Singh', 'Nathan Coulter-Nile', 'Lasith Malinga', 'Rishi Dhawan', 'Dhawal Kulkarni']",KXIP
RCB,CSK,CSK,bowl,"M.Chinnaswamy Stadium, Bengaluru",8:00 PM,Chettithody Shamshuddin,Rod Tucker,Subrat Das,Andy Pycroft,"['Saurabh Tiwary', 'Chris Gayle', 'Virat Kohli', 'AB de Villiers', 'Moises Henriques', 'Lokesh Rahul', 'Ravi Rampaul', 'Vinay Kumar', 'Zaheer Khan', 'RP Singh', 'Jaydev Unadkat']","['Michael Hussey', 'Murali Vijay', 'Suresh Raina', 'S Badrinath', 'MS Dhoni', 'Ravindra Jadeja', 'Dwayne Bravo', 'Chris Morris', 'Ravichandran Ashwin', 'Jason Holder', 'Mohit Sharma']",RCB
PWI,DC,PWI,bat,"Maharashtra Cricket Association Stadium, Pune",4:00 PM,Nigel Llong,Simon Taufel,Vineet Kulkarni,Ranjan Madugalle,"['Robin Uthappa', 'Aaron Finch', 'Manish Pandey', 'Yuvraj Singh', 'Luke Wright', 'Angelo Mathews', 'Raiphi Gomez', 'Wayne Parnell', 'Bhuvneshwar Kumar', 'Ali Murtaza', 'Ashok Dinda']","['Mahela Jayawardene', 'Bharath Chipli', 'Virender Sehwag', 'David Warner', 'Ben Rohrer', 'CM Gautam', 'Irfan Pathan', 'Morne Morkel', 'Siddarth Kaul', 'Umesh Yadav', 'Shahbaz Nadeem']",PWI
SRH,KKR,KKR,bat,"Rajiv Gandhi International Stadium, Hyderabad",8:00 PM,Asad Rauf,Sudhir Asnani,Anil Chaudhary,Raju Mukherjee,"['Parthiv Patel', 'Shikhar Dhawan', 'Hanuma Vihari', 'Cameron White', 'Karn Sharma', 'Biplab Samantray', 'Daren Sammy', 'Thisara Perera', 'Amit Mishra', 'Dale Steyn', 'Anand Rajan']","['Manvinder Bisla', 'Gautam Gambhir', 'Jacques Kallis', 'Yusuf Pathan', 'Eoin Morgan', 'Ryan ten Doeschate', 'Paras Dogra', 'Iqbal Abdulla', 'Sunil Narine', 'Pradeep Sangwan', 'Mohammed Shami']",SRH
CSK,MI,CSK,bat,"Arun Jaitley Stadium, Delhi",8:00 PM,Nigel Llong,Rod Tucker,Sundaram Ravi,Roshan Mahanama,"['Michael Hussey', 'Murali Vijay', 'Suresh Raina', 'MS Dhoni', 'Ravindra Jadeja', 'Dwayne Bravo', 'S Badrinath', 'Albie Morkel', 'Chris Morris', 'Ravichandran Ashwin', 'Mohit Sharma']","['Aditya Tare', 'Dwayne Smith', 'Dinesh Karthik', 'Rohit Sharma', 'Kieron Pollard', 'Ambati Rayudu', 'Mitchell Johnson', 'Harbhajan Singh', 'Lasith Malinga', 'Pragyan Ojha', 'Munaf Patel']",CSK
RR,SRH,SRH,bat,"Arun Jaitley Stadium, Delhi",8:00 PM,Sundaram Ravi,Rod Tucker,Nigel Llong,Roshan Mahanama,"['Rahul Dravid', 'Ajinkya Rahane', 'Shane Watson', 'Sanju Samson', 'Stuart Binny', 'Brad Hodge', 'Dishant Yagnik', 'Kevon Cooper', 'James Faulkner', 'Vikramjeet Singh Malik', 'Siddharth Trivedi']","['Parthiv Patel', 'Shikhar Dhawan', 'Hanuma Vihari', 'Cameron White', 'Thisara Perera', 'Biplab Samantray', 'Daren Sammy', 'Karn Sharma', 'Amit Mishra', 'Dale Steyn', 'Ishant Sharma']",RR
MI,RR,RR,bat,"Eden Gardens, Kolkata",8:00 PM,Chettithody Shamshuddin,Simon Taufel,Kumar Dharmasena,Ranjan Madugalle,"['Dwayne Smith', 'Aditya Tare', 'Dinesh Karthik', 'Rohit Sharma', 'Kieron Pollard', 'Ambati Rayudu', 'Harbhajan Singh', 'Mitchell Johnson', 'Lasith Malinga', 'Pragyan Ojha', 'Rishi Dhawan']","['Rahul Dravid', 'Ajinkya Rahane', 'Shane Watson', 'Sanju Samson', 'Stuart Binny', 'Brad Hodge', 'Dishant Yagnik', 'Kevon Cooper', 'James Faulkner', 'Vikramjeet Singh Malik', 'Siddharth Trivedi']",MI
CSK,MI,MI,bat,"Eden Gardens, Kolkata",8:00 PM,Kumar Dharmasena,Simon Taufel,Chettithody Shamshuddin,Ranjan Madugalle,"['Michael Hussey', 'Murali Vijay', 'Suresh Raina', 'MS Dhoni', 'Ravindra Jadeja', 'S Badrinath', 'Dwayne Bravo', 'Albie Morkel', 'Chris Morris', 'Ravichandran Ashwin', 'Mohit Sharma']","['Dwayne Smith', 'Aditya Tare', 'Dinesh Karthik', 'Rohit Sharma', 'Kieron Pollard', 'Ambati Rayudu', 'Harbhajan Singh', 'Rishi Dhawan', 'Mitchell Johnson', 'Lasith Malinga', 'Pragyan Ojha']",MI
